UN_CODE,ISO2_CODE,ISO3_CODE,Name_en
0,380,EU,EUR
4,2,AF,AFG
8,3,AL,ALB
10,30,AQ,ATA
12,4,DZ,DZA
16,5,AS,ASM
20,6,AD,AND
24,7,AO,AGO
28,8,AG,ATG
31,52,AZ,AZE
32,9,AR,ARG
36,10,AU,AUS
40,11,AT,AUT
44,12,BS,BHS
48,13,BH,BHR
50,16,BD,BGD
51,1,AM,ARM
52,14,BB,BRB
56,255,BE,BEL
58,15,,
60,17,BM,BMU
64,18,BT,BTN
68,19,BO,BOL
70,80,BA,BIH
72,20,BW,BWA
74,31,BV,BVT
76,21,BR,BRA
84,23,BZ,BLZ
86,24,IO,IOT
90,25,SB,SLB
92,239,VG,VGB
96,26,BN,BRN
97,275,,
100,27,BG,BGR
104,28,MM,MMR
108,29,BI,BDI
112,57,BY,BLR
116,115,KH,KHM
120,32,CM,CMR
124,33,CA,CAN
128,34,,
132,35,CV,CPV
136,36,KY,CYM
140,37,CF,CAF
144,38,LK,LKA
148,39,TD,TCD
152,40,CL,CHL
156,41,CN,CHN
158,214,TW,TWN
162,42,CX,CXR
166,43,CC,CCK
170,44,CO,COL
174,45,KM,COM
175,270,YT,MYT
178,46,CG,COG
180,250,CD,COD
184,47,CK,COK
188,48,CR,CRI
191,98,HR,HRV
192,49,CU,CUB
196,50,CY,CYP
200,51,,CSK
203,167,CZ,CZE
204,53,BJ,BEN
208,54,DK,DNK
212,55,DM,DMA
214,56,DO,DOM
218,58,EC,ECU
222,60,SV,SLV
226,61,GQ,GNQ
230,62,,
231,238,ET,ETH
232,178,ER,ERI
233,63,EE,EST
234,64,FO,FRO
238,65,FK,FLK
239,271,GS,SGS
242,66,FJ,FJI
246,67,FI,FIN
248,282,AX,ALA
250,68,FR,FRA
254,69,GF,GUF
258,70,PF,PYF
260,71,TF,ATF
262,72,DJ,DJI
266,74,GA,GAB
268,73,GE,GEO
270,75,GM,GMB
274,76,,
275,299,PS,PSE
276,79,DE,DEU
278,77,,
280,78,,
288,81,GH,GHA
292,82,GI,GIB
296,83,KI,KIR
300,84,GR,GRC
304,85,GL,GRL
308,86,GD,GRD
312,87,GP,GLP
316,88,GU,GUM
320,89,GT,GTM
324,90,GN,GIN
328,91,GY,GUY
332,93,HT,HTI
334,92,HM,HMD
336,94,VA,VAT
340,95,HN,HND
344,96,HK,HKG
348,97,HU,HUN
352,99,IS,ISL
356,100,IN,IND
360,101,ID,IDN
364,102,IR,IRN
368,103,IQ,IRQ
372,104,IE,IRL
376,105,IL,ISR
380,106,IT,ITA
384,107,CI,CIV
388,109,JM,JAM
392,110,JP,JPN
396,111,JT,JTN
398,108,KZ,KAZ
400,112,JO,JOR
402,245,,
404,114,KE,KEN
408,116,KP,PRK
410,117,KR,KOR
414,118,KW,KWT
417,113,KG,KGZ
418,120,LA,LAO
422,121,LB,LBN
426,122,LS,LSO
428,119,LV,LVA
430,123,LR,LBR
434,124,LY,LBY
438,125,LI,LIE
440,126,LT,LTU
442,256,LU,LUX
446,128,MO,MAC
450,129,MG,MDG
454,130,MW,MWI
458,131,MY,MYS
462,132,MV,MDV
466,133,ML,MLI
470,134,MT,MLT
474,135,MQ,MTQ
478,136,MR,MRT
480,137,MU,MUS
484,138,MX,MEX
488,139,MI,MID
492,140,MC,MCO
496,141,MN,MNG
498,146,MD,MDA
499,273,ME,MNE
500,142,MS,MSR
504,143,MA,MAR
508,144,MZ,MOZ
512,221,OM,OMN
516,147,NA,NAM
520,148,NR,NRU
524,149,NP,NPL
528,150,NL,NLD
530,151,AN,ANT
531,286,CW,CUW
533,22,AW,ABW
534,289,SX,SXM
535,283,BQ,BES
536,152,,
540,153,NC,NCL
548,155,VU,VUT
554,156,NZ,NZL
558,157,NI,NIC
562,158,NE,NER
566,159,NG,NGA
570,160,NU,NIU
574,161,NF,NFK
578,162,NO,NOR
580,163,MP,MNP
581,232,UM,UMI
582,164,,
583,145,FM,FSM
584,127,MH,MHL
585,180,PW,PLW
586,165,PK,PAK
591,166,PA,PAN
598,168,PG,PNG
600,169,PY,PRY
604,170,PE,PER
608,171,PH,PHL
612,172,PN,PCN
616,173,PL,POL
620,174,PT,PRT
624,175,GW,GNB
626,176,TL,TLS
630,177,PR,PRI
634,179,QA,QAT
638,182,RE,REU
642,183,RO,ROU
643,185,RU,RUS
646,184,RW,RWA
652,287,BL,BLM
654,187,SH,SHN
659,188,KN,KNA
660,258,AI,AIA
662,189,LC,LCA
663,288,MF,MAF
666,190,PM,SPM
670,191,VC,VCT
674,192,SM,SMR
678,193,ST,STP
682,194,SA,SAU
686,195,SN,SEN
688,272,RS,SRB
690,196,SC,SYC
694,197,SL,SLE
702,200,SG,SGP
703,199,SK,SVK
704,237,VN,VNM
705,198,SI,SVN
706,201,SO,SOM
710,202,ZA,ZAF
716,181,ZW,ZWE
724,203,ES,ESP
728,290,SS,SSD
729,298,SD,SDN
732,205,EH,ESH
736,206,,
740,207,SR,SUR
744,260,SJ,SJM
748,209,SZ,SWZ
752,210,SE,SWE
756,211,CH,CHE
760,212,SY,SYR
762,208,TJ,TJK
764,216,TH,THA
768,217,TG,TGO
772,218,TK,TKL
776,219,TO,TON
780,220,TT,TTO
784,225,AE,ARE
788,222,TN,TUN
792,223,TR,TUR
795,213,TM,TKM
796,224,TC,TCA
798,227,TV,TUV
800,226,UG,UGA
804,230,UA,UKR
807,154,MK,MKD
810,228,SU,SUN
818,59,EG,EGY
826,229,GB,GBR
830,259,,
831,284,GG,GGY
832,285,JE,JEY
833,264,IM,IMN
834,215,TZ,TZA
835,276,,EAZ
840,231,US,USA
850,240,VI,VIR
854,233,BF,BFA
858,234,UY,URY
860,235,UZ,UZB
862,236,VE,VEN
872,242,WK,WAK
876,243,WF,WLF
882,244,WS,WSM
887,249,YE,YEM
890,248,YU,YUG
891,186,CS,SCG
894,251,ZM,ZMB
896,252,,
